traitement,seuil,n_switchers,part_switchers,part_variation_conservee
Lisière,3.583898239115178,360,0.03576751117734724,0.3261844334036119
Lisière,3.6167780394740325,354,0.035171385991058124,0.323052904303831
Lisière,3.6496578398328876,349,0.03467461500248385,0.3204234644564762
Lisière,3.6825376401917422,339,0.03368107302533532,0.3151101268176136
Lisière,3.7154174405505973,337,0.033482364629905614,0.31403955434491504
Lisière,3.748297240909452,331,0.032886239443616495,0.3107882772871141
Lisière,3.781177041268307,320,0.031793343268753105,0.3047913556851202
Lisière,3.8140568416271616,316,0.031395926477893694,0.30258836143189405
Lisière,3.8469366419860167,310,0.030799801291604572,0.29925822416365444
Lisière,3.8798164423448713,308,0.030601092896174863,0.29813614139080247
Lisière,3.9126962427037264,305,0.030303030303030304,0.29644013797165475
Lisière,3.945576043062581,301,0.02990561351217089,0.2941627008498493
Lisière,3.978455843421436,297,0.029508196721311476,0.2918646674917054
Lisière,4.011335643780291,291,0.028912071535022354,0.2883925822075128
Lisière,4.044215444139145,288,0.028614008941877794,0.286637650632024
Lisière,4.077095244498,285,0.028315946348733235,0.28487130841837083
Lisière,4.1099750448568555,284,0.02821659215101838,0.2842789355982751
Lisière,4.142854845215711,280,0.027819175360158967,0.28188194387342463
Lisière,4.175734645574565,277,0.027521112767014407,0.28006865898488637
Lisière,4.20861444593342,273,0.027123695976154993,0.27763654442415286
Lisière,4.241494246292275,263,0.026130153999006457,0.2715080986372921
Lisière,4.274374046651129,259,0.025732737208147043,0.26903995591647034
Lisière,4.307253847009984,255,0.02533532041728763,0.26655893108806067
Lisière,4.340133647368839,252,0.02503725782414307,0.2646799565387555
Lisière,4.373013447727694,247,0.024540486835568802,0.26152441582985997
Lisière,4.4058932480865485,245,0.024341778440139097,0.2602521890400006
Lisière,4.4387730484454035,241,0.023944361649279683,0.25768828807039545
Lisière,4.471652848804259,235,0.02334823646299056,0.25381434553736404
Lisière,4.504532649163114,234,0.02324888226527571,0.2531645483695272
Lisière,4.537412449521968,230,0.022851465474416296,0.2505460535811391
Lisière,4.570292249880823,228,0.022652757078986587,0.24922603373762567
Lisière,4.603172050239678,226,0.022454048683556882,0.24789377221191664
Lisière,4.636051850598533,224,0.022255340288127173,0.2465540742191393
Lisière,4.668931650957387,223,0.02215598609041232,0.24588162311220704
Lisière,4.701811451316242,218,0.021659215101838054,0.2424836901281475
Lisière,4.734691251675097,216,0.021460506706408346,0.24111681778843974
Lisière,4.7675710520339525,214,0.02126179831097864,0.23973977758956852
Lisière,4.800450852392807,212,0.021063089915548932,0.238356876421082
Lisière,4.833330652751662,210,0.020864381520119227,0.23695909148100003
Lisière,4.866210453110517,206,0.020466964729259813,0.23414689490560955
Lisière,4.899090253469372,199,0.019771485345255836,0.22918812489072982
Lisière,4.931970053828226,194,0.01927471435668157,0.2256228618108243
Lisière,4.964849854187081,192,0.019076005961251863,0.22418817363420018
Lisière,4.997729654545936,188,0.01867858917039245,0.22129981339998667
Lisière,5.030609454904791,186,0.018479880774962744,0.21984380558374064
Lisière,5.0634892552636455,183,0.01818181818181818,0.21765178744434072
Lisière,5.0963690556225005,180,0.01788375558867362,0.2154427477289807
Lisière,5.129248855981356,177,0.017585692995529062,0.2132159188791154
Lisière,5.162128656340211,175,0.017386984600099353,0.2117244383647292
Lisière,5.195008456699065,172,0.017088922006954794,0.2094720933484815
Lisière,5.22788825705792,170,0.01689021361152509,0.2079616155460942
Lisière,5.260768057416775,169,0.016790859413810234,0.20720204923025803
Lisière,5.293647857775629,167,0.016592151018380526,0.20567481701724513
Lisière,5.326527658134484,165,0.01639344262295082,0.20413331635167736
Lisière,5.359407458493339,162,0.01609538002980626,0.20180980059079973
Lisière,5.392287258852194,161,0.015996025832091407,0.20103129481706866
Lisière,5.425167059211049,158,0.015697963238946847,0.19867703783593532
Lisière,5.458046859569904,157,0.015598609041231993,0.19788868062350823
Lisière,5.490926659928759,153,0.015201192250372579,0.19471777226377054
Lisière,5.523806460287614,149,0.014803775459513165,0.19152542636752068
Lisière,5.556686260646468,144,0.014307004470938897,0.18750886783549514
Lisière,5.589566061005323,142,0.01410829607550919,0.18588977435840384
Lisière,5.622445861364178,141,0.014008941877794338,0.18507733779661467
Lisière,5.655325661723033,140,0.013909587680079483,0.18425987155739856
Lisière,5.688205462081887,137,0.013611525086934924,0.1817903853731616
Lisière,5.7210852624407424,136,0.01351217088922007,0.18096471755832075
Lisière,5.7539650627995975,134,0.013313462493790363,0.17930135025275565
Lisière,5.786844863158453,133,0.01321410829607551,0.17846601711553622
Lisière,5.819724663517307,130,0.012916045702930949,0.17594294452962017
