"X","seuil","delta_1","n_switchers"
NA,0.0237200272968039,-1.53115471632935,3104
NA,0.0224925457104109,-1.43263714719071,3265
NA,0.0309730689506978,-3.45566023580416,2317
NA,0.0519366205227561,-3.86687504581451,1128
NA,0.0339375376328826,-3.72130269084316,2070
NA,0.0872044943808578,-2.98177312737183,461
NA,0.0141248050006107,0.307209637740677,4716
NA,0.0497980066784658,-3.66554082438184,1213
NA,0.0819032361079007,-2.01601818339675,509
NA,0.0209709333977662,-1.41836504376031,3470
NA,0.0604853185382672,-3.12054141018267,855
NA,0.0285878250654787,-2.86804503924689,2544
NA,0.0214778485218994,-1.49559052645298,3397
NA,0.0777977077872492,-2.23347277381619,564
NA,0.0905540823237971,-3.1559458897877,434
NA,0.0437016498297453,-3.3477668361558,1489
NA,0.0698603675165214,-3.82121687503429,666
NA,0.0185356594831683,-0.391282708308315,3849
NA,0.0445572674018331,-3.28321435264156,1430
NA,0.0346945280116051,-3.50913057496659,2015
NA,0.083317603499163,-2.57118712297046,499
NA,0.0503664707252756,-3.71569681125389,1195
NA,0.0829057917743921,-2.01984384106544,505
NA,0.0831150558567606,-2.02597050912859,504
NA,0.08149080889998,-1.89776719534513,512
NA,0.0495848518842831,-3.62704002180698,1220
NA,0.0779027642775327,-2.23936220362399,561
NA,0.0666299018403515,-2.93980509676968,720
NA,0.0739164161216468,-1.51286736752556,611
NA,0.0100562295992859,1.7176221600506,5710
NA,0.0527784916688688,-3.84007656741973,1096
NA,0.029810699664522,-3.55400240786415,2427
NA,0.0441834883950651,-3.16953188448902,1461
NA,0.0651493902946822,-2.85422202820635,754
NA,0.0416618118318729,-3.08764361743134,1589
NA,0.0200021881912835,-1.06540681230673,3614
NA,0.0319257525447756,-3.5540269419232,2226
NA,0.0701250028703362,-3.82231424485742,663
NA,0.0475882101710886,-3.11496367993346,1292
NA,0.0809376250626519,-1.91585103756421,518
NA,0.0192578179831617,-0.900230009961401,3746
NA,0.0491403467347845,-3.59587231255529,1229
NA,0.0986461281985976,-3.72157441447857,364
NA,0.0903746002959088,-3.1542572086596,435
NA,0.0897822154709138,-3.14959689200217,441
NA,0.0257547385245562,-2.65495372351756,2839
NA,0.0217626122408547,-1.61648098386223,3359
NA,0.0687791732535698,-3.58516594098443,685
NA,0.0409164825035259,-3.03338335731069,1622
NA,0.0691082315170206,-3.65175416779276,681
NA,0.0388335918239318,-2.88829942957839,1740
NA,0.0268922007340007,-2.70224812595438,2719
NA,0.0804064871184528,-2.05252925084646,529
NA,0.0184235488041304,-0.522132231471466,3866
NA,0.0520101137412712,-3.82321006584783,1126
NA,0.0560354913910851,-1.91699006660611,983
NA,0.287577520124614,-0.901308564007164,43
NA,0.4089769218117,-1.99818101419158,16
NA,0.0455564993899316,-2.92666611316705,1381
NA,0.528105488047004,-3.35646484310194,5
